student_id,gender,field,internships,tech_skills,soft_skills,comm_skills,work_exp,salary
STU001182,-1,1,3,6.2,5.3,6,0,11.22
STU001183,1,1,1,4.8,6.9,6.1,0,10.9
STU001186,1,1,2,10,10,9.8,2,11.13
STU001189,-1,1,1,8,8.6,7.8,0,9.44
STU001190,1,1,3,2.4,3.5,3.6,9,12.73
STU001199,1,1,1,2.5,2.3,2.4,0,11.36
STU001200,-1,1,0,7.2,7.1,7.6,0,8.62
STU001201,1,1,0,4,3.2,5.8,15,13.01
STU001204,-1,1,1,8.2,10,8.2,12,9.57
STU001205,-1,1,2,4.3,4,4.5,1,11.28
STU001208,-1,1,0,4.6,4.8,6.5,0,7.51
STU001209,-1,1,1,3.8,5.6,6.4,32,18.46
STU001210,0,1,3,8.9,9.9,10,35,14.76
STU001216,-1,1,1,5.6,7.2,8,0,10.34
STU001218,1,1,1,6.7,8.5,7.6,30,12.14
STU001221,1,1,2,4,3.2,4.8,0,12.11
STU001224,1,1,1,7.6,6.7,7.2,4,13.88
STU001229,0,1,1,4.9,3.1,1.8,4,15.09
STU001230,-1,1,1,3.2,2.5,1.7,0,10
STU001232,-1,1,1,6.7,8.6,10,0,10.76
STU001236,-1,1,2,5.8,6.1,7.3,0,8.6
STU001243,1,1,0,7.8,8.9,7.4,22,11.85
STU001244,1,1,2,7.5,8,7.5,9,9.11
STU001245,1,1,4,7.9,8.3,10,0,11.06
STU001248,-1,1,2,7.3,6.3,5.8,0,10.26
STU001250,1,1,0,7.8,6.8,6.4,0,15.63
STU001251,1,1,0,3.4,5.7,6.4,0,10.69
STU001252,-1,1,1,2.7,2.7,1.6,20,11.41
STU001256,-1,1,1,5.7,3.5,2.5,0,9.03
STU001257,-1,1,0,6.9,4.4,6.5,0,8.84
STU001263,-1,1,3,3.2,3.5,4.7,6,11.84
STU001264,-1,1,1,6.4,4.6,5.4,0,12.07
STU001273,1,1,2,9.8,8.1,5.8,0,8.46
STU001275,-1,1,2,4,6.2,4.6,31,17.18
STU001280,-1,1,0,5.9,6.6,7.2,29,16.5
STU001281,1,1,5,3.2,2.6,1.4,27,16.02
STU001282,1,1,1,5.3,5,4.6,0,12.74
STU001283,1,1,4,8.5,9.7,9.1,11,17.18
STU001289,-1,1,0,3.1,3.5,4.3,0,9.71
STU001291,-1,1,3,4.1,4.7,4.9,0,6.87
STU001292,-1,1,1,5.5,6,6.9,21,14.13
STU001296,-1,1,0,7.2,7.6,7.2,12,12.03
STU001299,1,1,0,6.4,9.7,8.8,15,12.02
STU001309,-1,1,1,2.5,5.5,4.6,0,11.05
STU001314,1,1,2,5.7,5.7,5.7,0,9.68
STU001316,1,1,3,5.5,4.5,4,23,11.42
STU001317,-1,1,2,7.2,8.4,10,11,9.47
STU001318,1,1,0,5.8,4.1,4.4,36,16.69
STU001321,-1,1,1,4.4,6.7,5.5,23,11.24
STU001323,1,1,1,3.5,5.9,6.8,12,7.87
STU001326,-1,1,3,7.3,6.3,5.3,0,12.71
STU001333,-1,1,0,5.9,10,9.5,0,12.86
STU001336,1,1,3,5.6,5.9,5.8,0,11.28
STU001338,1,1,3,8.7,8.7,9.4,14,18.69
STU001340,-1,1,1,7,10,10,19,14.63
STU001342,-1,1,3,4.9,3.9,3,0,9.38
STU001343,1,1,3,5.4,6.8,7,7,11.62
STU001344,1,1,2,4.4,9.2,9,16,8.76
STU001345,1,1,2,6.7,7.3,6.5,0,8.03
STU001349,0,1,1,5.1,7.4,8.3,19,17.13
STU001351,1,1,1,8.4,7.9,8.1,0,14.97
STU001352,1,1,1,8.8,9.1,9.2,14,11.12
STU001353,-1,1,0,5.7,5.7,5.7,4,13.06
STU001354,1,1,1,4.2,3.8,4.7,24,12.12
STU001357,1,1,4,7.8,6.3,6,0,14.47
STU001358,-1,1,1,5.8,7.8,7.3,18,18.25
STU001362,-1,1,1,3.1,8.2,7,4,8.91
STU001365,1,1,0,7.8,7.3,7.8,0,14.22
STU001366,-1,1,4,7.4,5.5,5.9,7,13.89
STU001367,1,1,3,7.9,8.5,6.7,5,13.26
STU001369,-1,1,2,6.6,6.6,8.4,0,7.28
STU001372,-1,1,0,6.4,5.4,5.4,22,10.26
STU001376,1,1,1,6.6,6.7,8.5,25,18.18
STU001377,-1,1,1,5.1,5.4,5.2,24,15.36
STU001378,-1,1,2,1.5,1.7,1.2,22,13.43
STU001381,-1,1,0,5.9,4.2,4.2,34,14.4
STU001383,1,1,1,8.4,10,10,5,13.66
STU001384,-1,1,1,8.7,8.6,7.7,6,10.95
STU001385,1,1,3,8,7.4,5.7,0,14.8
STU001386,-1,1,5,6.8,8.4,9.1,0,11.32
STU001388,-1,1,3,7.8,6.8,6.7,2,8.87
STU001390,-1,1,2,9.2,10,10,22,9.55
STU001398,-1,1,3,3.7,3.2,4.1,22,12.26
