student_id,gender,degree_field,internships_count,technical_skills_score,soft_skills_score,communication_score,work_experience_months,placed,salary_lpa
STU000153,Male,Engineering,1,4.3,5.1,5.1,14,1,14.95
STU000157,Female,Engineering,0,5.5,8,6.4,20,1,18.69
STU000159,Male,Engineering,1,7.4,6.8,7.2,0,1,14.75
STU000161,Male,Engineering,2,7.5,8.6,7.8,0,0,0
STU000165,Male,Engineering,0,9.9,10,8.6,10,1,13.09
STU000167,Male,Engineering,2,7.6,8,9.4,0,1,11.02
STU000169,Male,Engineering,1,5.6,7.6,6.5,35,0,0
STU000170,Female,Engineering,4,8.1,6.4,6.9,21,1,12.6
STU000172,Male,Engineering,0,5.4,4.2,3.9,36,1,17.58
STU000173,Male,Engineering,2,7.1,8,7.6,0,1,9.1
STU000174,Male,Engineering,5,1.8,1.2,1.7,5,1,10.03
STU000175,Female,Engineering,2,6.3,5,4.8,29,0,0
STU000176,Male,Engineering,2,7.9,9.7,10,0,1,10.57
STU000179,Female,Engineering,1,2.7,2.2,2.1,30,1,11.45
STU000180,Male,Engineering,3,4.8,8.7,9.9,0,1,8.77
STU000181,Male,Engineering,5,2.9,2.8,2.3,25,1,15.7
STU000182,Male,Engineering,3,8,9.9,10,22,1,11.42
STU000183,Female,Engineering,1,8.9,9.5,10,13,1,14.66
STU000184,Female,Engineering,4,4.3,3.8,2.7,0,1,13.18
STU000187,Female,Engineering,2,8.8,9.1,10,0,0,0
STU000188,Female,Engineering,1,7.5,8.7,8.5,1,1,14.63
STU000189,Male,Engineering,2,8.5,8,8.2,10,1,15.67
STU000191,Male,Engineering,1,2.6,5.2,6.1,12,1,11.04
STU000205,Female,Engineering,3,5,6.5,6.3,0,1,14.15
STU000206,Male,Engineering,2,4.9,3.8,3.9,20,1,13.37
STU000207,Male,Engineering,2,7.5,10,9.7,0,1,15.13
STU000208,Female,Engineering,3,6,8.5,8.8,0,1,10.7
STU000210,Male,Engineering,2,6.3,6.6,5.4,13,1,15.39
STU000212,Female,Engineering,2,3,4.2,5.2,0,0,0
STU000214,Male,Engineering,2,3.6,5.2,4.6,0,1,8.7
STU000216,Male,Engineering,1,9,7.3,6.3,0,1,13.66
STU000218,Female,Engineering,2,5.9,7.2,7.6,0,1,10.19
STU000224,Male,Engineering,0,6.8,6.6,5.4,13,1,10.24
STU000227,Female,Engineering,4,1.2,1.4,1,7,1,10.16
STU000230,Female,Engineering,5,8,10,10,20,1,12.23
STU000231,Female,Engineering,2,7.8,6.3,7.4,7,1,13.3
STU000232,Male,Engineering,1,5.7,5.6,6.4,0,0,0
STU000234,Male,Engineering,4,7.7,4.9,4.1,0,1,11.31
STU000237,Male,Engineering,0,9.7,9.2,7.9,0,0,0
STU000238,Male,Engineering,2,6.8,10,8.5,0,1,9.64
STU000241,Female,Engineering,1,7.3,10,9.6,18,1,15.66
STU000243,Female,Engineering,5,7,7.1,7.1,0,1,12.32
STU000245,Male,Engineering,3,6.6,9.1,10,35,1,13.37
STU000247,Male,Engineering,1,6.3,9.5,7.1,0,0,0
STU000248,Female,Engineering,0,2.1,2.4,3.3,0,1,10.96
STU000258,Female,Engineering,1,5.7,6.8,7.6,0,1,9.26
STU000259,Female,Engineering,1,6.8,9.8,8.8,0,1,12.75
STU000261,Female,Engineering,2,7.4,4.4,5.7,0,1,11.29
STU000262,Other,Engineering,1,4.8,2.8,3.9,23,1,11.84
STU000263,Male,Engineering,0,9.2,9.5,9.1,31,1,12.5
STU000264,Male,Engineering,1,3.7,1.9,1,16,1,10.69
STU000265,Female,Engineering,0,9.3,9.5,9.6,22,1,18.63
STU000266,Female,Engineering,3,5.1,6.7,6.1,0,1,13.7
STU000271,Female,Engineering,1,6.6,8.3,7.5,7,1,12.37
STU000273,Female,Engineering,3,4.4,6.5,7.4,23,1,10.51
STU000274,Female,Engineering,1,7.7,7.1,6,30,1,15.4
STU000275,Male,Engineering,2,4.1,7.9,7.6,0,1,14.26
STU000278,Female,Engineering,1,6.8,6.3,5.3,34,0,0
STU000281,Female,Engineering,1,6,4.8,5.6,6,0,0
STU000282,Male,Engineering,3,6.4,5.7,5.8,18,1,14.93
STU000283,Male,Engineering,1,6,7.6,5.6,2,1,11.3
STU000287,Male,Engineering,0,7,7.2,6.9,20,1,10.8
STU000289,Male,Engineering,4,4,3.5,2,17,0,0
STU000290,Female,Engineering,1,5.7,6.6,6.5,0,1,10.23
STU000292,Male,Engineering,1,8.7,9.2,8.8,2,1,9.6
STU000297,Female,Engineering,2,7.3,8.2,8.7,0,1,10.35
STU000300,Male,Engineering,0,7.8,7.6,6.5,0,1,11.21
STU000301,Male,Engineering,2,6.3,7.1,10,1,1,11.85
STU000304,Female,Engineering,3,9.2,10,9.8,21,1,12.16
STU000305,Female,Engineering,0,4.6,2.7,3.1,21,0,0
STU000307,Male,Engineering,1,5.7,5.6,6.9,35,1,13.21
STU000308,Male,Engineering,2,7.1,8.8,7.1,36,1,14.47
STU000313,Male,Engineering,0,6.1,2.6,3.2,11,1,11.79
STU000314,Female,Engineering,1,3.4,6.4,5.4,0,1,9.87
STU000318,Male,Engineering,0,7.3,10,10,14,1,13.64
STU000319,Male,Engineering,1,7.4,7.2,7.2,34,1,17.09
STU000320,Male,Engineering,5,4,6.3,6.2,26,1,15.32
STU000322,Female,Engineering,4,9.3,9.7,9.4,11,1,15.71
STU000325,Female,Engineering,3,7.2,7.4,7.8,30,1,14.81
STU000327,Female,Engineering,1,5.9,4.8,5.1,34,1,11.8
STU000329,Male,Engineering,0,4.9,7,5,0,0,0
STU000334,Male,Engineering,1,5.2,7.2,6.8,32,1,10.36
STU000340,Male,Engineering,1,2.7,6,6.8,31,1,17.29
STU000341,Male,Engineering,3,10,10,9.3,22,1,18.7
STU000344,Male,Engineering,2,7.7,7.2,6.2,0,0,0
STU000346,Female,Engineering,2,4.5,4.4,3.9,0,0,0
STU000347,Female,Engineering,4,8,6.9,9.7,0,1,13.54
STU000354,Male,Engineering,0,7.3,6.2,8.1,0,1,11.12
STU000355,Male,Engineering,1,7.3,6.4,6,0,1,11.62
STU000359,Female,Engineering,1,4.9,7.6,8.4,8,1,13.11
STU000360,Female,Engineering,3,1.8,1,1.4,0,0,0
STU000361,Male,Engineering,0,4.4,5.4,5,0,1,8.42
STU000362,Female,Engineering,2,6.5,6.4,4.9,0,1,12.57
STU000365,Female,Engineering,2,5.2,5.4,4.6,0,1,13.12
STU000367,Female,Engineering,0,8.8,10,9,0,1,16
STU000368,Female,Engineering,4,6.1,7,6.5,31,1,16.85
STU000370,Male,Engineering,1,4.4,5.1,5.1,22,1,10.74
STU000375,Male,Engineering,0,8.8,8.1,7.2,8,1,12.14
STU000376,Male,Engineering,0,7.7,4.3,2.6,28,1,13.3
STU000377,Female,Engineering,2,7.3,6.8,6.9,0,1,9.64
STU000379,Female,Engineering,4,5.8,5.9,4,0,1,8.57
STU000380,Male,Engineering,0,4.3,6.1,6.1,23,0,0
STU000382,Female,Engineering,1,3.9,4.6,3.2,0,1,9.83
STU000387,Male,Engineering,3,2,4.2,6.6,28,0,0
STU000395,Male,Engineering,1,6.1,8,8.5,8,1,12.11
STU000396,Female,Engineering,0,6.6,6.7,7.7,27,0,0
STU000397,Female,Engineering,0,7,10,9.1,7,1,12.99
STU000398,Male,Engineering,3,2,4.7,4.8,6,1,13.83
STU000400,Female,Engineering,2,8.6,9.9,9.5,0,1,15.06
STU000401,Male,Engineering,4,7.1,7.8,7.4,33,1,16.92
STU000402,Female,Engineering,1,6.4,5.7,4.7,3,0,0
STU000408,Male,Engineering,0,5.8,9,10,12,1,12.71
STU000409,Female,Engineering,2,2.9,6.1,6.4,0,1,10.75
STU000411,Male,Engineering,1,3.8,5.6,4.7,6,1,13.22
STU000413,Female,Engineering,1,3.5,4.5,6.1,0,0,0
STU000414,Female,Engineering,1,6,5.4,5.5,0,0,0
STU000416,Male,Engineering,3,6.8,6.5,5.2,8,1,15.73
STU000417,Male,Engineering,2,8.9,9.3,8.3,0,1,11.11
STU000420,Female,Engineering,2,4.6,6.8,5.2,0,1,9.73
STU000425,Male,Engineering,3,3.5,5.7,5.5,0,1,12.41
STU000427,Male,Engineering,0,5.4,4.7,5.3,15,1,12.1
STU000430,Male,Engineering,3,5.5,8,8.5,11,1,8.69
STU000434,Male,Engineering,2,8.3,8,7.9,0,1,10.87
STU000437,Male,Engineering,2,6.3,6.4,7.9,0,1,9.06
STU000438,Female,Engineering,3,6.7,4.3,4.1,0,1,12.97
STU000444,Male,Engineering,3,8.5,8,9.4,20,1,13.37
STU000446,Female,Engineering,3,6.1,6.1,5.8,0,0,0
STU000447,Other,Engineering,0,5.2,4.2,3.7,0,0,0
STU000461,Male,Engineering,2,3.6,5.7,7.4,34,1,12.65
STU000465,Female,Engineering,2,7.8,9.9,9.9,0,1,10.04
STU000467,Male,Engineering,1,4.9,6.2,5.4,16,1,8.87
STU000469,Male,Engineering,1,8.2,8.4,7.9,3,1,9.98
STU000478,Female,Engineering,3,8.2,7.1,6.9,23,1,20.33
STU000480,Male,Engineering,2,5.8,4.5,4.4,0,1,11.67
STU000481,Female,Engineering,2,4.3,5,4.3,23,1,16.38
STU000482,Female,Engineering,1,3.5,4.2,3.7,18,1,10.09
STU000484,Female,Engineering,1,7,6,6.5,9,1,10.17
STU000485,Female,Engineering,1,1.3,1.8,1.5,21,0,0
STU000487,Male,Engineering,3,8.7,10,10,0,1,13.53
STU000488,Male,Engineering,2,6.7,7.8,6.9,0,1,9.86
STU000490,Female,Engineering,2,5.4,8.6,8.6,0,0,0
STU000492,Female,Engineering,0,8,10,9.6,17,1,15.96
STU000495,Male,Engineering,1,2.9,3.6,4.6,35,0,0
STU000497,Female,Engineering,2,5.4,4.1,4.2,0,0,0
STU000499,Female,Engineering,5,5.8,6.4,6,0,1,16.06
STU000500,Other,Engineering,2,5.9,5.3,6,7,0,0
STU000501,Female,Engineering,0,7.6,7.7,7.8,0,1,11.11
STU000502,Male,Engineering,3,4.9,2.4,1.1,0,1,9.98
STU000504,Female,Engineering,0,5.3,5.6,4.6,15,0,0
STU000505,Female,Engineering,0,6.6,7.1,7.6,0,1,8.54
STU000507,Female,Engineering,2,5.8,5,4.7,27,1,11.1
STU000509,Female,Engineering,0,8.7,9.8,10,17,1,13.91
STU000511,Female,Engineering,4,5.3,4.9,4.4,0,1,11.83
STU000519,Other,Engineering,1,6.3,6.5,6.2,0,1,7.03
STU000521,Female,Engineering,0,4.4,8,6.9,0,1,8.49
STU000527,Male,Engineering,1,6.6,6.5,5.8,27,1,12.05
STU000532,Other,Engineering,1,5.9,5.4,5,30,1,10.6
STU000533,Other,Engineering,1,2.5,1.7,1.3,0,0,0
STU000539,Male,Engineering,2,7.8,5.3,5.3,14,1,13.98
STU000540,Male,Engineering,1,7.7,8.9,9.8,0,1,11.21
STU000542,Female,Engineering,1,6.3,8.7,9.5,0,1,11.2
STU000543,Male,Engineering,4,8.4,7.9,7.7,0,1,10.75
STU000547,Male,Engineering,1,7,8.4,8.5,28,1,17.18
STU000555,Female,Engineering,0,6.1,6.4,5.9,0,0,0
STU000557,Male,Engineering,2,6.2,7.8,8.4,0,1,11.22
STU000559,Female,Engineering,5,10,10,9,24,1,16.74
STU000560,Female,Engineering,1,7.3,8,9.3,0,1,9.03
STU000571,Male,Engineering,2,5,5.9,8,0,0,0
STU000573,Male,Engineering,2,8.4,8.1,8,1,0,0
STU000574,Female,Engineering,0,6.4,6.7,6.5,12,1,10.41
STU000575,Female,Engineering,1,4.6,5.8,5.4,7,1,8.8
STU000576,Female,Engineering,1,8.9,10,9.4,6,1,8.63
STU000577,Male,Engineering,1,5.9,5.7,5.6,36,1,12.55
STU000580,Male,Engineering,1,7.4,7.9,6.6,19,1,13.49
STU000582,Other,Engineering,2,9,9.9,10,32,1,18.59
STU000588,Male,Engineering,0,8.4,10,10,0,1,12.91
STU000594,Male,Engineering,0,5,7,5.7,0,0,0
STU000602,Male,Engineering,2,8.1,9.7,10,0,1,13.38
STU000603,Male,Engineering,4,2.1,1.4,2.6,0,1,11.27
STU000605,Male,Engineering,2,5.4,8.7,8.8,20,1,11.46
STU000606,Male,Engineering,3,3,5,6.7,17,1,13.43
STU000611,Male,Engineering,1,6.2,8.5,9.4,30,1,12.83
STU000617,Male,Engineering,1,7.7,9.7,9.2,0,1,12.25
STU000619,Female,Engineering,1,2.1,2.1,2.2,0,1,9.45
STU000620,Female,Engineering,0,7.1,7.8,7.8,24,1,11.44
STU000621,Male,Engineering,2,5.9,7.4,9,10,1,11.46
STU000625,Female,Engineering,0,7.6,9.3,7.3,0,1,7.99
STU000627,Male,Engineering,2,3.8,4.2,4,0,1,13.71
STU000629,Male,Engineering,2,6.4,8.7,8.7,0,0,0
STU000632,Female,Engineering,1,4.2,4.6,5.7,15,1,12.81
STU000636,Male,Engineering,3,5.6,6,5.7,0,1,14.61
STU000637,Male,Engineering,2,6.7,7.5,7,0,1,12.77
STU000641,Male,Engineering,2,4,5.8,6.3,0,1,11.23
STU000642,Male,Engineering,1,7,8.3,8.2,0,1,13.58
STU000643,Male,Engineering,0,3.7,2.9,2.4,0,0,0
STU000644,Male,Engineering,3,5.5,6.7,6.7,10,1,12.72
STU000646,Female,Engineering,2,3.7,3.9,4.9,7,1,10.57
STU000647,Female,Engineering,1,9.7,8.2,7.6,9,1,14.86
STU000649,Female,Engineering,1,5.2,4.4,2,0,0,0
STU000651,Male,Engineering,1,6.6,9.4,9.2,26,1,11.68
STU000652,Male,Engineering,2,4.3,3.9,4.9,0,1,12.89
STU000660,Female,Engineering,2,7.2,7.4,6.6,3,1,15.56
STU000661,Male,Engineering,1,6.6,9.3,8.4,20,1,12.57
STU000663,Female,Engineering,0,6.4,4.2,3.4,0,1,13.87
STU000671,Male,Engineering,3,7.9,7.4,7.2,11,1,17.62
STU000676,Other,Engineering,3,3.5,3.5,5.2,28,1,18.77
STU000677,Male,Engineering,0,6.2,4.9,4.3,18,1,11.95
STU000680,Female,Engineering,1,10,10,10,0,1,8.29
STU000683,Male,Engineering,0,6.1,6,5.6,28,1,15.78
STU000685,Female,Engineering,0,4.9,4.7,5,0,1,7.11
STU000688,Male,Engineering,3,7.5,7.6,6.2,18,1,12.52
STU000690,Male,Engineering,0,5.7,6.3,6.6,9,0,0
STU000695,Male,Engineering,1,5.3,6.3,7.4,0,1,7.73
STU000700,Male,Engineering,2,5.2,5.5,4.7,0,1,12.71
STU000701,Male,Engineering,1,6.9,6.5,6.9,0,0,0
STU000702,Male,Engineering,2,3.7,3.5,3.3,21,1,10.17
STU000704,Male,Engineering,1,10,8.8,6.5,0,1,12.77
STU000708,Female,Engineering,2,1,1,1,0,1,9.39
STU000709,Male,Engineering,1,6.1,5.8,6,0,1,17.63
STU000711,Female,Engineering,0,7.2,8.3,8.4,4,1,8.87
STU000713,Male,Engineering,1,5.8,7.3,7.3,0,1,10.56
STU000715,Male,Engineering,0,5.9,7.1,8.2,0,1,10.87
STU000717,Female,Engineering,2,4,6.5,5.8,0,1,9.48
STU000720,Female,Engineering,4,8.6,9.4,10,8,1,9.91
STU000728,Female,Engineering,0,3.9,6.3,4.8,1,1,9.24
STU000730,Male,Engineering,0,5.7,8.1,8.2,1,0,0
STU000733,Female,Engineering,4,2.5,2.9,2.7,15,1,9.87
STU000736,Female,Engineering,1,4.8,2.1,1.4,22,1,8.73
STU000742,Male,Engineering,0,6.4,7.6,6.5,27,1,14
STU000747,Male,Engineering,1,7.7,9.2,9.2,0,1,9.03
STU000748,Male,Engineering,2,5.9,4.5,4.4,6,1,12.05
STU000751,Male,Engineering,1,7.9,8.6,8.2,18,1,9.75
STU000752,Female,Engineering,1,6.5,6.4,4.7,21,1,10.37
STU000754,Male,Engineering,0,1,4,4,10,0,0
STU000755,Male,Engineering,2,6.9,7.4,7.5,34,1,11.93
STU000757,Female,Engineering,2,6.1,7.4,6,0,1,11.28
STU000760,Female,Engineering,5,2.9,1,1,0,1,12.58
STU000761,Male,Engineering,1,10,10,8.1,24,1,14.03
STU000763,Male,Engineering,1,4,5.4,4,0,1,10.71
STU000766,Female,Engineering,0,10,9.1,9.7,24,1,12.06
STU000778,Female,Engineering,3,5.3,6.1,4,0,1,11.44
STU000780,Female,Engineering,0,5.2,4.1,4.7,10,1,13.19
STU000781,Female,Engineering,1,7.9,9.8,10,25,1,10.73
STU000782,Male,Engineering,1,3.6,3.8,3.5,12,1,11.46
STU000788,Male,Engineering,1,1.8,5.6,5.5,15,1,9.69
STU000790,Female,Engineering,2,7.5,4.7,4.6,0,1,10.38
STU000791,Male,Engineering,5,6.5,6.9,7.5,36,1,18.57
STU000793,Male,Engineering,2,2.1,1.3,1,0,1,7.98
STU000794,Female,Engineering,2,8.8,8.6,8.3,0,1,15.67
STU000796,Female,Engineering,3,6.2,6.7,6.7,0,1,9.76
STU000798,Female,Engineering,0,6.8,6,6,17,1,11.46
STU000804,Female,Engineering,1,6.6,4.8,4,0,1,11
STU000806,Female,Engineering,1,6.7,7.4,8.1,13,1,11.68
STU000809,Male,Engineering,4,7.6,7.7,9.1,6,1,10.8
STU000810,Male,Engineering,2,3.6,4.4,4.2,23,1,11.09
STU000811,Other,Engineering,0,4.1,4.4,4.1,0,0,0
STU000812,Female,Engineering,3,5.4,8.2,8.2,15,1,12.01
STU000813,Male,Engineering,1,4.1,7.1,6.3,5,1,8.26
STU000815,Female,Engineering,1,4.2,4.4,4.2,11,1,10.47
STU000817,Female,Engineering,1,10,10,10,26,1,14.48
STU000818,Male,Engineering,4,8.5,9.9,7.9,0,1,12.23
STU000819,Male,Engineering,1,8.1,8.9,10,24,1,14.71
STU000825,Male,Engineering,1,8.2,6.7,7.7,0,0,0
STU000826,Female,Engineering,3,2.1,2.1,1,17,1,9.69
STU000827,Male,Engineering,2,7.9,8.6,7.5,0,1,10.88
STU000828,Male,Engineering,3,8,8.3,9.1,31,1,19.17
STU000829,Female,Engineering,1,7.7,7.4,6.5,0,1,16.52
STU000832,Male,Engineering,0,5.3,6.4,7.3,14,1,9.78
STU000833,Male,Engineering,1,4.7,3.3,3.2,18,1,11.93
STU000834,Male,Engineering,2,6.5,9.1,8.5,0,1,11.76
STU000835,Male,Engineering,0,3.8,4,5,29,1,14.42
STU000836,Male,Engineering,3,4,3.9,2.9,36,1,15.28
STU000839,Female,Engineering,3,5.8,5.9,4.4,0,1,10.42
STU000840,Female,Engineering,1,5.4,6.5,5.2,18,1,16.53
STU000844,Female,Engineering,1,6.4,9.3,10,0,1,10.18
STU000845,Male,Engineering,1,3.6,3.8,4.4,0,1,11.13
STU000847,Male,Engineering,2,1.6,2.7,3.7,0,1,9.23
STU000852,Female,Engineering,1,8.2,8.9,8.3,8,1,15.39
STU000854,Female,Engineering,2,3.9,3.9,3.2,25,1,13.64
STU000858,Male,Engineering,0,7.7,7.3,8.3,0,1,10.8
STU000859,Female,Engineering,2,6.9,4.6,3.5,27,1,13.71
STU000861,Female,Engineering,0,4.7,6,7.3,0,1,6.83
STU000865,Male,Engineering,1,5.4,5.3,4,29,1,11.49
STU000866,Female,Engineering,4,6.1,7.2,6.7,0,1,10.44
STU000869,Female,Engineering,1,4.9,5.2,4.4,31,1,13.75
STU000871,Male,Engineering,2,8,6.5,8.5,29,1,14.52
STU000874,Male,Engineering,3,7.6,10,8.6,0,1,10.52
STU000875,Male,Engineering,2,3.7,2.7,2.9,12,1,8.21
STU000882,Female,Engineering,2,6.2,5.2,5.8,25,1,11.47
STU000884,Male,Engineering,1,6.1,6.9,7.9,15,1,11.57
STU000887,Female,Engineering,1,6.7,6.3,6,0,1,11.93
STU000894,Male,Engineering,4,3.7,3.4,1.4,0,1,12.58
STU000895,Female,Engineering,0,6,7.4,6,0,1,12.12
STU000897,Male,Engineering,0,4.3,2.7,2.8,5,1,9.22
STU000898,Female,Engineering,1,8.6,8.3,8.4,0,1,12.64
STU000899,Male,Engineering,2,5.4,4.2,5.6,22,1,15.68
STU000900,Male,Engineering,3,8.7,9,8.2,36,1,17.5
STU000903,Male,Engineering,1,4.7,3.8,3.7,0,1,5.62
STU000904,Female,Engineering,1,8.1,8.1,7.9,0,0,0
STU000907,Female,Engineering,0,4.8,5.8,5,0,1,14.73
STU000910,Male,Engineering,3,6.8,7,8.3,19,0,0
STU000912,Male,Engineering,2,5.1,7,7.9,0,0,0
STU000913,Female,Engineering,2,7.4,7.7,6.8,0,0,0
STU000914,Male,Engineering,1,9.3,10,8.3,17,1,13.94
STU000918,Female,Engineering,3,6.9,5.6,5.4,33,1,13.43
STU000923,Female,Engineering,1,8.4,9.7,10,11,1,12.02
STU000924,Female,Engineering,2,6.9,7.5,6.7,0,1,12.82
STU000925,Male,Engineering,2,6.2,5.1,4.6,0,1,7.5
STU000926,Male,Engineering,0,7.7,9.6,10,0,1,10.06
STU000928,Male,Engineering,0,5.4,5.9,6.4,19,1,9.82
STU000931,Male,Engineering,3,6.3,6.7,6.7,0,0,0
STU000932,Female,Engineering,5,3.6,6.1,6,5,1,10.57
STU000933,Other,Engineering,2,2.2,1,1,0,1,10.03
STU000935,Male,Engineering,2,5.4,5.3,4.6,14,1,9.84
STU000937,Male,Engineering,3,5.9,8.7,7.6,10,1,10.75
STU000939,Male,Engineering,1,6.5,6,3.4,7,1,11.77
STU000946,Male,Engineering,2,7.8,5.8,5.7,10,1,10.48
STU000947,Male,Engineering,2,5.5,5,5.4,10,1,14.19
STU000948,Female,Engineering,4,3.6,4.7,4.9,12,0,0
STU000949,Female,Engineering,0,5.5,5.5,5.6,0,1,12.81
STU000951,Female,Engineering,2,5,6.5,6.8,0,0,0
STU000953,Male,Engineering,1,6.2,6.5,5.6,0,1,11.11
STU000958,Male,Engineering,0,7.9,9.8,9.6,26,1,10.1
STU000961,Male,Engineering,3,5.3,6.6,6.4,33,1,11.11
STU000964,Male,Engineering,0,7.7,7.3,5.6,25,1,10.61
STU000966,Male,Engineering,5,5.8,7.9,7.5,0,1,14.17
STU000976,Male,Engineering,2,2.1,2.5,1.6,8,1,10.06
STU000977,Female,Engineering,2,6.6,5.7,4.6,20,1,12.11
STU000978,Male,Engineering,2,7.1,9.5,9.7,33,1,13.78
STU000985,Female,Engineering,1,1.2,3,4.1,30,1,15.27
STU000991,Female,Engineering,1,6,7.1,6.5,34,0,0
STU000992,Female,Engineering,3,5.5,5.7,6.7,32,1,14.39
STU000993,Male,Engineering,0,4.2,3.5,3.2,19,1,6.84
STU000994,Female,Engineering,3,3.3,3.5,3.1,0,1,11.87
STU001000,Male,Engineering,3,7,8.3,9.6,23,1,15.7
STU001004,Female,Engineering,1,8.9,10,10,3,1,11.96
STU001005,Female,Engineering,2,4.5,6.5,7.8,2,1,14.58
STU001007,Female,Engineering,2,8.2,10,8.2,0,1,7.26
STU001012,Other,Engineering,0,3.1,7.8,7.1,1,0,0
STU001017,Male,Engineering,1,7.5,6.8,5.8,1,0,0
STU001019,Female,Engineering,2,7.8,7.3,6.8,19,1,11.77
STU001028,Female,Engineering,0,5.1,4.5,5,0,1,11.09
STU001030,Female,Engineering,4,3.4,4.1,3.5,35,1,15.91
STU001031,Male,Engineering,4,6.2,7.5,7.4,30,1,20.38
